STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/29/1970,100,100,,,,0,0,0,0,,51,37,,0,,,,,225,,,,,,17,1,,,,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/30/1970,60,70,,,,0,37,0,0,,44,24,,222,,,,,315,,,,,,23.9,,,,,,,,,,,,,,,,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1/31/1970,10,10,,,,0,100,0,0,,37,18,,606,,,,,225,,,,,,15,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/1/1970,30,20,,,,0,90,0,0,,51,31,,552,,,,,225,,,,,,17,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/2/1970,100,100,,,,0.25,0,0,0,,54,33,,0,,,,,180,,,,,,38,1,,,,,,,,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/3/1970,100,100,,,,0.52,0,0.1,0,,54,20,,0,,,,,315,,,,,,25.1,1,1,,1,,,,,,,,,,,1,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/4/1970,20,0,,,,0,100,0,0,,20,11,,618,,,,,315,,,,,,34,,,,,,,,,,,,,,,,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/5/1970,90,100,,,,0,47,0,0,,34,17,,294,,,,,180,,,,,,14.1,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/6/1970,90,90,,,,0,24,0,0,,39,28,,150,,,,,360,,,,,,6.9,1,,,,,,,1,,,,,,,,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/7/1970,20,10,,,,0,94,0,0,,43,28,,588,,,,,90,,,,,,8.9,1,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/8/1970,80,100,,,,0,16,0,0,,39,26,,102,,,,,90,,,,,,6.9,1,1,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/9/1970,100,100,,,,0.04,0,0,0,,41,34,,0,,,,,90,,,,,,17.9,1,,,,,,,1,,,,,,,1,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/10/1970,100,100,,,,0.67,0,0,0,,49,37,,0,,,,,225,,,,,,19,1,,,,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/11/1970,80,90,,,,0,4,0,0,,41,34,,24,,,,,315,,,,,,31.1,,,,,,,,,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/12/1970,40,50,,,,0,78,0,0,,35,27,,492,,,,,315,,,,,,27.1,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/13/1970,40,30,,,,0,86,0,0,,33,22,,546,,,,,315,,,,,,28,,,,,,,,,,,,,,,,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/14/1970,80,100,,,,0.16,0,1.9,0,,25,19,,0,,,,,45,,,,,,17,1,,,,,,,1,,,,,,,,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/15/1970,100,100,,,,0.44,0,0.7,3,,35,25,,0,,,,,45,0.3,,,,,17,1,,,,,1,,1,,,,,,,1,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/16/1970,100,100,,,,0,0,0,1,,34,29,,0,,,,,315,,,,,,16.1,,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/17/1970,70,90,,,,0,16,0,1,,39,29,,102,,,,,45,,,,,,14.1,,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/18/1970,30,50,,,,0,85,0,0,,45,27,,552,,,,,225,,,,,,15,,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/19/1970,60,80,,,,0,29,0,0,,49,29,,186,,,,,315,,,,,,25.9,1,,,,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/20/1970,20,50,,,,0,88,0,0,,33,23,,576,,,,,315,,,,,,31.1,,,,,,,,1,,,,,,,,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/21/1970,50,50,,,,0,65,0,0,,34,18,,432,,,,,270,,,,,,21,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/22/1970,30,20,,,,0,94,0,0,,52,28,,618,,,,,225,,,,,,25.9,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/23/1970,10,0,,,,0,100,0,0,,46,28,,660,,,,,315,,,,,,28,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/24/1970,40,40,,,,0,94,0,0,,52,28,,624,,,,,225,,,,,,25.1,,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/25/1970,70,70,,,,0,45,0,0,,55,16,,300,,,,,360,,,,,,28,,,,,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/26/1970,10,0,,,,0,100,0,0,,26,10,,672,,,,,360,,,,,,27.1,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/27/1970,90,70,,,,0,71,0,0,,43,21,,480,,,,,225,,,,,,15,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",2/28/1970,10,0,,,,0,100,0,0,,40,29,,678,,,,,315,,,,,,17.9,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/1/1970,30,20,,,,0,98,0,0,,42,24,,666,,,,,360,,,,,,14.1,,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/2/1970,100,100,,,,0,0,0,0,,49,34,,0,,,,,90,,,,,,15,,,,,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/3/1970,100,100,,,,0,0,0,0,,38,35,,0,,,,,90,,,,,,17.9,,,,,,,,1,,,,,,,,,1,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/4/1970,100,100,,,,0.41,0,0,0,,39,34,,0,,,,,135,,,,,,11,1,,,,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/5/1970,100,100,,,,0,0,0,0,,49,37,,0,,,,,360,,,,,,19,1,,,,,,,1,,,,,,,1,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/6/1970,80,90,,,,0,7,0,0,,43,32,,48,,,,,360,,,,,,17,,,,,,,,,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/7/1970,50,60,,,,0,85,0,0,,50,26,,594,,,,,225,,,,,,12.1,1,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/8/1970,20,0,,,,0,100,0,0,,47,29,,696,,,,,315,,,,,,34,,,,,,,,1,,,,,,,,,,,,,
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",3/9/1970,40,40,,,,0,85,0,0,,42,23,,594,,,,,315,,,,,,16.1,,,,,,,,,,,,,,,,,,,,,
